Date,Sent Amount,Sent Currency,Received Amount,Received Currency,Fee Amount,Fee Currency,Net Worth Amount,Net Worth Currency,Label,Description,TxHash
2025-04-24 18:03:42 UTC,4.077310145,DEEP,,,0.021951664,SUI,,,,Sui Tx,DpAqPaviAnb3FZqdHL89CQmNxtWvAFdCy67BUMmud6Lq
2025-04-24 18:32:26 UTC,471.601551204,SUI,,,0.009215868,SUI,,,,Sui Tx,2TSLs9vjtfJRe71jGgovHm2Mi7k3ucZ3xLvoNoh48Pih
2025-04-24 19:19:59 UTC,147.537907699,SUI,907.574747842,WAL,0.002010568,SUI,,,,Sui Tx,7seNKYZeSEMSmBLpGnSANZSZhpQcixh2Axcgh8KB7sM4
2025-04-24 19:20:21 UTC,1.0,WAL,0.157739288,SUI,0.004535712,SUI,,,,Sui Tx,PkdiEMd76RQCgNWcgMX4tFUUbNEvM66WC2wyUdJaJbg
2025-04-24 19:21:16 UTC,906.574747842,WAL,,,0.014158016,SUI,,,,Sui Tx,9wUgsyFNYfjpbdjwL2dQgypp1WJMiMr3osAyzaHBct7h
2025-04-25 08:53:02 UTC,,,0.548183342,WAL,0.016170952,SUI,,,,Sui Tx,66UwwHCyTeHJWCkRD2Asv3DDPM33nVnFM26y7vENcrHq
2025-04-25 15:18:18 UTC,,,0.263635712,WAL,0.016170952,SUI,,,,Sui Tx,Dr7KPDprb6sez6XNoQ7H1GrKYyhWnBmwb8HyJX5rvWYo
2025-04-26 11:12:48 UTC,,,0.81655718,WAL,0.016170952,SUI,,,,Sui Tx,5sh2wWQGZcT74DrTvedwXU5UrR5M9Q6q3AEx3AP7dynZ
2025-04-27 13:38:27 UTC,,,1.071025754,WAL,0.016130952,SUI,,,,Sui Tx,BBFBzSxu3LVAiWB2u6MqDrWhDzSXGCCD1Cv8vjMMmqie
2025-04-27 14:21:00 UTC,2.699400999,WAL,1.692573,USDC,0.00355004,SUI,,,,Sui Tx,D6e6iZXvfdKnScAmLzkkP2uLAjy44NTTgtZL48mvM6ut
2025-04-27 14:21:24 UTC,0.007612998,DEEP,1.323022,USDC,0.000371084,SUI,,,,Sui Tx,2EzsvKoFCLAyivXdpxB2Km6ETxHftMUMy4LskExerUpq
2025-04-27 17:22:21 UTC,,,0.169190573,WAL,0.016130952,SUI,,,,Sui Tx,4ycyz6RqxgJdqhJv4uDM8vNCUggyGRrkYVy1CFqQANtR
2025-04-28 10:11:31 UTC,,,0.729083607,WAL,0.016134952,SUI,,,,Sui Tx,FViNEtSoWzzTKczuiCtcFSu7HDo7gp6khb2qFpCgHUVy
2025-04-28 19:04:53 UTC,,,0.360473424,WAL,0.016134952,SUI,,,,Sui Tx,GzvBiKdkg3d2btuv5qbMgwEGuSwJLVj8QBbNAEZDKtpo
2025-04-28 22:59:48 UTC,,,0.157762024,WAL,0.016134952,SUI,,,,Sui Tx,C83f1PFN4sjuLC1Rwcgk2fGq5DAgu47mCQGxNfAfsF25
2025-04-28 23:00:05 UTC,3.015595,USDC,0.842754105,SUI,0.001384112,SUI,,,,Sui Tx,HGmKML3dRyrMU4CWMNaVvCfHrZqucGpfsdec32PQ2aLG
2025-04-28 23:04:02 UTC,,,471.699882641,SUI,0.007623788,SUI,,,,Sui Tx,AceJ5smWAtf4cuT1Mx9XYvkEJx8ctueGm2nM7GEbbn8G
2025-04-28 23:05:14 UTC,472.552385335,SUI,466.992161624,SPRING_SUI,0.001278624,SUI,,,,Sui Tx,9ptEdrpRTPfYB3Tfz2ddWc7e2dCUSCGTW5TTbzFohzCv
2025-04-28 23:05:55 UTC,467.378011987,SPRING_SUI,,,0.004135312,SUI,,,,Sui Tx,6wZiz1jQqC7TCmRyy5KmhEYuhqedQZCpAs5KoPUTgREe
2025-04-29 07:54:53 UTC,,,0.356486263,WAL,0.016199324,SUI,,,,Sui Tx,CpU6fmKHvKM4vQgA2WsT9rC4cGEJGQ9xtfF9v8X8zadH
2025-04-29 07:55:29 UTC,0.044135056,SPRING_SUI,0.033757511,SUI,0.010889432,SUI,,,,Sui Tx,AitsBehGnSCeUv5RY8xsj6kzuSySLjU6nx1o7Kssr3im
2025-04-29 08:22:58 UTC,0.016950509,SUI,1.0,SPRING_SUI,0.016950508,SUI,,,,Sui Tx,DLZ5NpYke6aqPxEHoqLJfvX3WFeTN8wzZVLeVYeMQxsp
2025-04-29 08:23:38 UTC,1.000000001,SPRING_SUI,1.003127782,SUI,0.00857356,SUI,,,,Sui Tx,BKihhA6pUwkFTWUaaA3cZy8fKAUivrH7TvcTVvwfr9Nn
2025-04-29 08:24:29 UTC,,,,,0.00158156,SUI,,,,Sui Tx,5XdsP1g4Tdhv5r6xvoetqcFjU4j1xRauHyMKnAkrLGvw
2025-04-29 09:01:09 UTC,,,199.970084575,SUI,0.029915424,SUI,,,,Sui Tx,3o2e4uCkWcUsDTSF4fndAKmHFjq4rhGCeBvyJW2m7syW
2025-04-29 09:01:26 UTC,200.002080424,SUI,197.653772904,SPRING_SUI,0.002080424,SUI,,,,Sui Tx,D9Lrr9hQhCoUbnTGst59j7DHoUXRhEJgtWHvRsULydPX
2025-04-29 09:01:49 UTC,197.653772904,SPRING_SUI,,,0.009286212,SUI,,,,Sui Tx,EAVbtjtrjfW5bqk6emQFwjado9eqK1WkuoPQK4mgbKKK
2025-04-29 09:03:43 UTC,,,0.04647341,WAL,0.01700614,SUI,,,,Sui Tx,5eT5qmadktQNMMKUx7aLA2Lv9StJfyiscXDWAesigGAB
2025-04-29 13:27:39 UTC,,,99.9787276,SUI,0.0212724,SUI,,,,Sui Tx,4x9zM9WyruFFKc5T5o1Utoy21yPXqCrJsDYkDib5YGPv
2025-04-29 13:27:54 UTC,100.002080424,SUI,98.823590918,SPRING_SUI,0.002080424,SUI,,,,Sui Tx,HcCYQBjdu4qXy5rMCLHNhx73uSRAJsXEagQAn6g5rB1n
2025-04-29 13:28:23 UTC,98.829412237,SPRING_SUI,,,0.009286212,SUI,,,,Sui Tx,DhrdaYSqDtRYSQahUCPsDDR9Nexf5PUW2Zjbx14MhmHz
2025-04-29 13:29:54 UTC,,,129.9787276,SUI,0.0212724,SUI,,,,Sui Tx,EhAHjr6ihTsjgNvLbdmnkezUb4CDuxkPbu7FPyuWznc9
2025-04-29 13:30:07 UTC,130.001278624,SUI,128.470720201,SPRING_SUI,0.001278624,SUI,,,,Sui Tx,7m2bBUMxgr5W1mhna7WqMJL4yxkNgdx6HZuY9V49bRCV
