Date,Sent Amount,Sent Currency,Received Amount,Received Currency,Fee Amount,Fee Currency,Net Worth Amount,Net Worth Currency,Label,Description,TxHash
2022-02-09 14:41:36 UTC,,,,,0.00067181113,EGLD,,,,Transaction Transfer,12ac1079f1e326698dbd7d7ddd3c2bd9b71d3d71a81e6064ebc80f4cba5b7080
2022-02-09 14:41:36 UTC,,,,,0.00046072513,EGLD,,,,Transaction Transfer,26235bea675737e00c0d76de2351bd59ecd8d0cbeb1343d103f3ae8b6c62d6e9
2022-02-09 14:42:00 UTC,,,,,0.00097601134,EGLD,,,,Transaction Transfer,097fb439b3299643b6e386d2d19ddb9d728250cc44df004f9216e55bdb81b31a
2022-02-10 16:12:18 UTC,,,,,0.00041668795,EGLD,,,,Transaction Transfer,4de9235a626879ffc2c81b38ba1e8420e6d5f8daf4bf28def559fb3e475afb16
2022-02-10 16:12:18 UTC,0.3784988275047411,EGLD,,,8.249255e-05,EGLD,,,,Transaction Transfer,3737f687402e8ced5318efa3fa552d6738610ef7d28579e3be44eee27f7cbfbb
2022-02-10 16:18:48 UTC,,,,,0.00040754595,EGLD,,,,Transaction Transfer,11443f842ae386e8eb86ed4067f34f6aea4ad9396d061836550a57bd10149b5b
2022-02-10 16:18:48 UTC,0.33494942923775795,EGLD,,,8.249255e-05,EGLD,,,,Transaction Transfer,d78718d7373c6a756ce6662edaa87ad2945689f5aa7297b9d4466a865cd5d8c7
2022-02-10 16:19:36 UTC,,,,,0.0001800062,EGLD,,,,Transaction Transfer,e090eb77d07df2ab17ecef1e11d9393d4dc8236f27a776cfc39d6ed8339f6288
2022-02-10 16:19:36 UTC,,,0.006990912712438433,EGLD,,,,,,SmartContractResult Transfer,5bf4ccfeee3d17307f15066bb0526272e4dd5b3eb218ca48e165006c8c113519
2022-02-10 20:33:48 UTC,,,,,0.00013,EGLD,,,,Transaction Transfer,e6eabd9c2ae94607bbf114fb448dda2366c4cf0d05f19bf4211c6810c2a28456
2022-02-11 13:29:30 UTC,,,,,0.00062196924,EGLD,,,,Transaction Transfer,61f16fc340f9fc87c0d70b061afa88b45ad656c970b8f216eae8694d22fc9006
2022-02-11 16:34:06 UTC,,,,,0.0001355,EGLD,,,,Transaction Transfer,9949dacb58188ca1b414bdd90fa38cbb319a898e4b0ddbe443cb5a96ca6efda4
2022-02-11 16:34:12 UTC,,,,,0.0001355,EGLD,,,,Transaction Transfer,5180861da0e9227df6b8cac5765748457c6027657b61b6d9949469cb891bc8f4
2022-02-11 16:34:18 UTC,,,,,0.0001355,EGLD,,,,Transaction Transfer,fa6d0ae951cd0410593e83c7680f3d50e76cc7f5ad257f8b41c4f87ce2996116
2022-02-11 16:34:24 UTC,,,,,0.0001355,EGLD,,,,Transaction Transfer,eae06f7f605a8832098ac7d79845601648fec7c616b0f55823040257cca2b9a6
2022-02-11 16:34:36 UTC,,,,,0.0001355,EGLD,,,,Transaction Transfer,77be241463d759ac3ab687fd256c7f875f2570681048f48f1165319ed1cc5fc4
2022-02-11 16:34:48 UTC,,,,,0.0001355,EGLD,,,,Transaction Transfer,fe39d1b62e3efa5083c443b090ebfae89f063cddcfb4b3d53fe803de0864144f
2022-02-13 12:09:36 UTC,,,,,0.0006805966,EGLD,,,,Transaction Transfer,4794ebe247a5df63d5079c0a4acc7da615d823fe5231c1d8031010da812a209f
2022-02-13 12:10:00 UTC,,,,,0.00098489956,EGLD,,,,Transaction Transfer,8283d1ed72979e03aab823988569c45244bf6183062084011811fead861c7e09
2022-02-13 12:10:30 UTC,,,,,0.00062196924,EGLD,,,,Transaction Transfer,3698e812e9c62b067e9daeadab79e0f15a86bd5db68c5d03834a2750c088d066
2022-02-14 13:55:42 UTC,,,,,0.0004333484,EGLD,,,,Transaction Transfer,a73a024612804dac14f5ba388e9fd0cefe78d5029bfb8d2928519a918e24807d
2022-02-14 13:56:30 UTC,,,,,0.000313427,EGLD,,,,Transaction Transfer,7520c22194a1d043396ab0b11c23637b5085e389dd6ed5588d37c7ba95545863
